Stock_ID,Date,Open,High,Low,Close,Adj Close,Volume,Entity,Code,New Cases,Case Fatality,New Deaths,SMA 30,SMA 90,Signal,Position,Buy,Sell,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ADX30,ADX14,14high,14low,%K,%D,gain,loss,avg_gain,avg_loss,rs,rsi
25,2019-02-07,347.8999938964844,348.75,339.0199890136719,344.7099914550781,344.7099914550781,7864500,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,344.0749969482422,308.2899932861328,0.0,0.0,356.2699890136719,80.76264334493503,61.736072999188494,360.0,318.6000061035156,63.06760676546796,68.69989879675448,0.0,7.48,5.029238884561187,2.4591718506169378,2.0450945237110987,67.1602969230234
26,2019-02-08,338.0,348.0,338.0,347.57000732421875,347.57000732421875,7561400,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,344.0749969482422,312.2149963378906,0.0,0.0,361.2099914550781,79.24947915908628,58.93268106738709,360.0,318.6000061035156,69.97585867558114,70.01714661374352,2.86,0.0,4.874293249949674,2.283516718430014,2.1345555347196656,68.09755038876881
27,2019-02-11,350.0,352.8699951171875,344.80999755859375,345.7300109863281,345.7300109863281,5454900,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,345.3999938964844,319.27000427246094,0.0,0.0,358.82000732421875,77.88421222218192,56.73669068064343,360.0,318.6000061035156,65.53142242157756,71.96085686332671,0.0,1.84,4.52612944638184,2.25183695282787,2.0099720988670606,66.77710067889349
28,2019-02-12,348.0899963378906,360.0,346.5199890136719,359.9700012207031,359.9700012207031,10429400,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,348.25,330.8249969482422,0.0,0.0,361.4599914550781,76.69634657306817,55.230513293174155,360.0,319.0,99.92683224561738,78.69397131900052,14.24,0.0,5.219977343068851,2.0909914561973078,2.4964125642875366,71.39925619150239
29,2019-02-13,357.29998779296875,359.6000061035156,350.2799987792969,351.7699890136719,351.7699890136719,10559100,0,0,0.0,0.0,0.0,333.03466796875,0.0,0,0.0,0.0,0.0,348.25,334.0050048828125,0.0,0.0,363.44000244140625,75.54807644559155,53.83192000480984,360.0,328.1499938964844,74.16009604651319,77.668043519301,0.0,8.2,4.847121818563933,2.5273492093260717,1.917867859604743,65.72840004703089
30,2019-02-14,351.75,360.45001220703125,348.3299865722656,359.07000732421875,359.07000732421875,9295300,0,0,0.0,0.0,0.0,336.0816680908203,0.0,0,0.0,0.0,0.0,349.2250061035156,336.4750061035156,0.0,0.0,358.7799987792969,74.3507364569514,52.22408645623411,360.45001220703125,328.1499938964844,95.72754148451399,78.50351806509755,7.3,0.0,5.022327402952223,2.346824265802781,2.1400526132851407,68.15339985804269
31,2019-02-15,358.4700012207031,364.3999938964844,355.5,356.8699951171875,356.8699951171875,9230000,0,0,0.0,0.0,0.0,338.9373341878255,0.0,0,0.0,0.0,0.0,351.1999969482422,338.4499969482422,0.0,0.0,375.2200012207031,73.26810108489434,51.050304724876725,364.3999938964844,328.1499938964844,79.22758957435344,78.23099245908922,0.0,2.2,4.663589731312778,2.3363368182454396,1.9961119025702283,66.6234095214486
32,2019-02-19,355.79998779296875,365.0,355.32000732421875,361.9200134277344,361.9200134277344,7396600,0,0,0.0,0.0,0.0,341.08233439127605,0.0,0,0.0,0.0,0.0,351.5,341.8000030517578,0.0,0.0,377.8699951171875,72.23280397998606,50.00867014936301,365.0,330.79998779296875,90.99419452361364,82.22050499596719,5.05,0.0,4.691190464790437,2.169455616942194,2.162381395662097,68.37826071922507
33,2019-02-20,364.8500061035156,366.7099914550781,356.70001220703125,359.9100036621094,359.9100036621094,8110700,0,0,0.0,0.0,0.0,342.56800130208336,0.0,0,0.0,0.0,0.0,352.35499572753906,342.6549987792969,0.0,0.0,361.010009765625,71.26443803109609,49.18354164876565,366.7099914550781,336.5,77.49093109450148,83.29408677009867,0.0,2.01,4.35610543159112,2.1580659300177514,2.0185228685554053,66.87121338661328
34,2019-02-21,360.0299987792969,362.8500061035156,353.8800048828125,356.9700012207031,356.9700012207031,6227900,0,0,0.0,0.0,0.0,343.7913350423177,0.0,0,0.0,0.0,0.0,352.35499572753906,342.6549987792969,0.0,0.0,366.2300109863281,70.19513862448521,47.89632500952014,366.7099914550781,336.5,67.7590433984126,83.61231833821796,0.0,2.94,4.044955043620325,2.2139183635879123,1.8270569999993156,64.62752608100077
